Name,Country.Code,Type,year,Mil_budget_Indicator.Name,Military_expensives,GDP_Indicator.Name,GDP,GDP_per_capita_Indicator.Name,GDP_per_capita
Arab World,ARB,Regions Clubbed Geographically,1962,Military expenditure (current USD),833229524.1,GDP (current US$),20327670691.7473,GDP per capita (current US$),210.805413565609
Arab World,ARB,Regions Clubbed Geographically,1963,Military expenditure (current USD),916446054.5,GDP (current US$),22362957617.8193,GDP per capita (current US$),225.80062890304
Arab World,ARB,Regions Clubbed Geographically,1964,Military expenditure (current USD),1225338998,GDP (current US$),24811627082.2698,GDP per capita (current US$),243.89743062669
Arab World,ARB,Regions Clubbed Geographically,1965,Military expenditure (current USD),1416443189,GDP (current US$),26769289694.4669,GDP per capita (current US$),256.180140917429
Arab World,ARB,Regions Clubbed Geographically,1966,Military expenditure (current USD),1548666185,GDP (current US$),28349126511.2864,GDP per capita (current US$),263.950839306074
Arab World,ARB,Regions Clubbed Geographically,1967,Military expenditure (current USD),1684446592,GDP (current US$),30598797624.9943,GDP per capita (current US$),276.932974446022
Arab World,ARB,Regions Clubbed Geographically,1968,Military expenditure (current USD),2031297443,GDP (current US$),34970677297.745,GDP per capita (current US$),307.53680094407
Arab World,ARB,Regions Clubbed Geographically,1969,Military expenditure (current USD),2520054562,GDP (current US$),38561008450.5238,GDP per capita (current US$),329.431422561081
Arab World,ARB,Regions Clubbed Geographically,1970,Military expenditure (current USD),2980085336,GDP (current US$),43091222309.5881,GDP per capita (current US$),357.694745003861
Arab World,ARB,Regions Clubbed Geographically,1971,Military expenditure (current USD),3346818699,GDP (current US$),49926770848.0969,GDP per capita (current US$),402.795034966669
Arab World,ARB,Regions Clubbed Geographically,1972,Military expenditure (current USD),3722311542,GDP (current US$),59966658266.3589,GDP per capita (current US$),470.195593028006
Arab World,ARB,Regions Clubbed Geographically,1973,Military expenditure (current USD),5149216359,GDP (current US$),79125367981.7092,GDP per capita (current US$),602.466748038645
Arab World,ARB,Regions Clubbed Geographically,1974,Military expenditure (current USD),5939677298,GDP (current US$),152188729571.963,GDP per capita (current US$),1124.96681728193
Arab World,ARB,Regions Clubbed Geographically,1975,Military expenditure (current USD),6542589258,GDP (current US$),168158579107.572,GDP per capita (current US$),1205.47381716898
Arab World,ARB,Regions Clubbed Geographically,1976,Military expenditure (current USD),7664547685,GDP (current US$),209993347714.026,GDP per capita (current US$),1458.14400589238
Arab World,ARB,Regions Clubbed Geographically,1977,Military expenditure (current USD),21087366664,GDP (current US$),242270387233.548,GDP per capita (current US$),1630.35982363709
Arab World,ARB,Regions Clubbed Geographically,1978,Military expenditure (current USD),23611330024,GDP (current US$),265398240292.281,GDP per capita (current US$),1728.20571012122
Arab World,ARB,Regions Clubbed Geographically,1979,Military expenditure (current USD),28041477384,GDP (current US$),358111304338,GDP per capita (current US$),2251.50602097583
Arab World,ARB,Regions Clubbed Geographically,1980,Military expenditure (current USD),34463402591,GDP (current US$),486405826789.156,GDP per capita (current US$),2954.04919644694
Arab World,ARB,Regions Clubbed Geographically,1981,Military expenditure (current USD),39939322642,GDP (current US$),494916415249.258,GDP per capita (current US$),2911.00787230797
Arab World,ARB,Regions Clubbed Geographically,1982,Military expenditure (current USD),40382443515,GDP (current US$),463080469413.228,GDP per capita (current US$),2640.58578642121
Arab World,ARB,Regions Clubbed Geographically,1983,Military expenditure (current USD),34868573704,GDP (current US$),437471179607.113,GDP per capita (current US$),2417.32459216364
Arab World,ARB,Regions Clubbed Geographically,1984,Military expenditure (current USD),36994839308,GDP (current US$),440182151040.526,GDP per capita (current US$),2357.26890873161
